Latitude,Longitude,Depth
6.771,-73.166,147.7
6.846,-73.146,147.4
6.816,-73.145,148.0
6.840,-73.423,122.1
6.790,-73.119,150.8
6.805,-73.118,149.0
6.088,-73.961,40.0
7.275,-73.460,109.2
6.783,-73.127,149.1
6.778,-73.189,137.8
6.819,-73.168,145.8
7.342,-73.064,4.0
6.908,-72.959,143.3
6.787,-73.170,145.7
6.829,-73.153,146.1
6.303,-73.644,108.0
6.782,-73.050,148.7
6.784,-73.148,150.8
6.765,-73.070,147.6
6.772,-73.139,142.5
6.813,-73.096,142.9
6.823,-73.174,149.5
6.270,-73.188,178.5
6.771,-73.297,130.5
6.800,-73.185,140.9
6.811,-73.170,145.8
6.276,-73.585,111.1
6.729,-73.119,141.8
6.860,-73.526,130.0
6.595,-74.112,32.0
6.267,-73.618,100.9
6.835,-73.116,148.0
6.825,-73.131,149.1
6.721,-73.413,120.1
6.848,-72.895,144.6
6.787,-73.135,142.3
6.822,-73.094,151.3
6.699,-73.220,145.8
6.763,-73.034,140.9
6.792,-73.116,151.6
6.824,-73.154,144.6
6.800,-73.134,144.4
6.552,-73.520,106.8
6.831,-73.145,142.3
6.651,-73.082,141.8
6.929,-73.200,122.5
7.457,-73.162,139.6
6.838,-73.390,106.6
6.792,-73.158,139.4
6.843,-73.137,139.7
6.808,-73.006,148.0
6.827,-73.109,143.0
6.781,-73.115,140.3
6.800,-73.139,138.0
6.829,-73.148,146.9
7.569,-73.134,160.8
6.799,-73.183,126.3
6.777,-73.154,141.7
6.804,-73.048,138.0
6.063,-73.616,115.6
6.796,-73.144,144.5
6.823,-73.151,139.9
6.828,-73.143,146.0
6.752,-73.275,142.9
6.783,-73.131,144.0
6.764,-73.116,147.6
6.408,-73.395,13.8
6.775,-73.064,146.0
6.783,-73.140,141.8
6.824,-73.173,142.4
6.807,-73.096,144.0
6.783,-73.113,145.7
6.785,-73.138,149.1
6.890,-73.256,121.9
6.847,-73.122,147.6
6.794,-73.153,145.9
6.807,-73.175,131.7
6.360,-73.603,112.6
6.812,-73.139,144.4
6.849,-73.136,141.2
6.791,-73.184,139.6
6.759,-73.140,142.7
6.752,-73.222,151.5
6.822,-73.125,144.8
7.583,-73.214,123.4
6.777,-73.146,140.0
6.751,-73.154,152.0
6.793,-73.090,146.5
6.767,-73.090,150.0
6.781,-72.958,143.8
6.555,-73.435,121.8
6.799,-73.158,147.4
6.797,-73.133,145.0
6.818,-73.151,145.4
7.274,-73.423,96.0
6.714,-73.202,153.8
6.786,-73.081,149.3
6.622,-73.171,153.0
6.754,-73.094,153.1
6.803,-73.174,148.9
6.795,-73.169,150.0
6.797,-73.205,143.7
6.828,-73.284,126.8
6.837,-73.162,141.9
6.700,-73.231,147.1
6.823,-73.171,150.0
