Latitud,Longitud
6.799,-73.148
6.795,-73.071
6.793,-73.166
6.790,-73.403
6.108,-74.151
6.821,-73.194
6.873,-73.320
7.542,-73.099
6.828,-73.192
6.820,-73.224
6.685,-73.233
6.614,-73.248
6.743,-73.102
7.343,-73.200
6.770,-73.178
6.752,-73.133
6.703,-73.126
6.799,-73.167
6.780,-73.112
6.819,-73.110
6.743,-73.135
6.815,-73.148
6.820,-73.147
6.420,-73.324
6.800,-73.126
6.652,-73.190
6.758,-73.153
6.767,-73.173
6.732,-73.529
6.799,-73.161
6.795,-73.337
6.767,-73.169
6.795,-73.122
6.949,-73.021
6.864,-73.277
6.782,-73.094
6.812,-73.145
6.779,-73.171
6.809,-73.131
6.792,-73.179
6.761,-73.145
6.808,-73.133
6.772,-73.121
6.728,-73.153
6.777,-73.155
6.796,-73.161
7.365,-73.189
6.747,-73.140
6.762,-73.129
6.791,-73.162
6.825,-73.136
6.726,-73.189
6.786,-73.134
6.804,-73.154
6.769,-73.103
6.810,-73.144
6.760,-73.122
6.793,-73.143
6.748,-73.159
6.477,-73.570
6.789,-73.181
6.842,-73.155
6.819,-73.156
6.767,-73.143
6.748,-73.053
6.795,-73.047
6.792,-73.153
6.763,-73.108
6.752,-73.173
6.721,-73.211
6.791,-73.167
6.282,-73.727
6.759,-73.166
6.007,-73.703
6.818,-73.159
6.784,-73.075
6.751,-73.141
6.831,-73.153
6.813,-73.064
6.779,-73.092
6.779,-73.142
6.787,-73.188
6.804,-73.158
6.744,-73.179
6.761,-73.175
6.864,-72.922
6.735,-73.214
6.774,-73.143
6.770,-73.160
6.805,-73.163
6.795,-73.116
6.766,-73.122
6.688,-73.217
6.769,-73.125
6.775,-73.105
6.819,-73.143
6.781,-73.121
6.797,-73.018
6.786,-73.161
6.797,-73.178
6.723,-73.191
6.793,-73.159
6.750,-73.133
6.811,-73.130
6.825,-73.203
6.837,-73.147
6.743,-73.202
6.724,-73.094
6.839,-73.063
6.803,-73.147
6.816,-73.143
6.756,-73.103
6.669,-73.335
6.744,-73.152
6.763,-73.054
6.827,-73.169
6.791,-73.108
6.841,-72.944
6.790,-73.162
6.803,-73.105
6.773,-73.047
6.817,-73.119
6.850,-73.150
6.784,-73.216
6.548,-73.466
6.806,-73.147
6.087,-73.670
6.825,-73.173
6.771,-73.166
6.846,-73.146
6.816,-73.145
6.840,-73.423
6.790,-73.119
6.805,-73.118
6.088,-73.961
7.275,-73.460
6.783,-73.127
6.778,-73.189
6.819,-73.168
7.342,-73.064
6.908,-72.959
6.787,-73.170
6.829,-73.153
6.303,-73.644
6.782,-73.050
6.784,-73.148
6.765,-73.070
6.772,-73.139
6.813,-73.096
6.823,-73.174
6.270,-73.188
6.771,-73.297
6.800,-73.185
6.811,-73.170
