BRR_DOP,BRR_RV2T,BRR_EntropyZ,BRR_EntropyN,BRR_EntropyE,BRR_KurtosisZ,BRR_KurtosisN,BRR_KurtosisE,BRR_SkewZ,BRR_SkewN,BRR_SkewE,BRR_CDZ,BRR_CDN,BRR_CDE,EsSismo
0.2908973,0.049039467,1.913151631,3.101275774,2.751570671,-0.294688656,-0.184849647,0.204336854,0.397902098,-0.419653488,0.362302916,0.951278847,0.930282501,0.918279305,0
0.049119307,0.254212283,2.542418041,2.798061203,2.645511363,-0.421068815,-0.744279551,0.782003302,0.4683662,0.0841135,0.013184736,0.938957307,0.934888492,0.922821376,1
0.318608541,0.064364227,1.829230865,2.634584179,2.923585836,-0.773392024,0.246094859,-0.639347562,-0.114607758,-0.173055383,0.144472799,0.974272999,0.946322506,0.959084674,0
0.306024863,0.685432401,3.856768522,3.776848107,3.790334938,5.736696907,8.557340345,5.796580569,-1.306071792,-0.588890825,-0.615229045,0.333826918,0.64444873,0.616257115,1
0.248898281,0.147406227,2.588846926,3.031047464,3.018770614,-0.448989107,-0.365129873,-0.478601353,-0.312307062,-0.074299771,-0.393443758,0.926762559,0.936688193,0.962583336,0
0.094912737,0.203550881,2.25614143,2.679377183,2.42202072,0.268558818,-0.482290806,-0.677590794,0.594257248,0.125029712,0.138276489,0.906554941,0.95789174,0.941308069,1
0.218269155,0.106497348,1.925670501,2.701798153,2.375598901,-0.592400512,-0.946950015,-0.311902006,0.059337183,-0.251465927,-0.126280676,0.940019221,0.922946464,0.968931802,0
0.227382849,0.584903244,3.204961973,2.974028375,3.178863578,2.695642906,1.223695299,0.801489151,-0.930573129,0.338757645,0.274996522,0.797858192,0.912930624,0.910301557,1
0.337099694,0.145810678,2.584122363,3.248165804,2.874626469,-0.855683482,-0.636133261,-0.856797242,0.223704937,-0.138191827,0.074612218,0.955570266,0.963318094,0.946791487,0
0.227942735,0.645539409,3.420038382,3.213020366,3.125281566,4.079688045,1.090791056,3.885423915,0.143044001,0.286554254,-0.962602466,0.807784795,0.887461053,0.89636564,1
0.283390375,0.137221119,1.942942968,2.736863064,2.254415241,-0.858642779,-0.580828432,-0.144021327,-0.25923659,0.174957368,-0.182422467,0.950033648,0.948620185,0.962311412,0
